seiseki_id,kyouka_id,tokuten,hyoutei
1,1,61,3
1,2,69,3
1,3,74,4
1,4,80,5
1,5,66,3
1,6,64,3
1,7,67,3
1,8,77,4
1,9,74,4
2,1,69,3
2,2,64,3
2,3,70,4
2,4,73,4
2,5,70,4
2,6,68,3
2,7,82,5
2,8,79,4
2,9,80,5
3,1,69,4
3,2,69,4
3,3,69,4
3,4,69,4
3,5,69,4
3,6,69,4
3,7,69,4
3,8,69,4
3,9,69,4
4,10,0,
4,11,0,
4,12,0,
4,13,0,
4,14,0,
4,15,0,
4,16,0,
4,17,0,
4,18,0,
4,19,0,
4,20,0,
4,21,0,
4,22,0,
4,23,0,
4,24,0,
4,25,0,
4,26,0,
5,10,0,
5,11,0,
5,12,0,
5,13,0,
5,14,0,
5,15,0,
5,16,0,
5,17,0,
5,18,0,
5,19,0,
5,20,0,
5,21,0,
5,22,0,
5,23,0,
5,24,0,
5,25,0,
5,26,0,
6,10,0,
6,11,0,
6,12,0,
6,13,0,
6,14,0,
6,15,0,
6,16,0,
6,17,0,
6,18,0,
6,19,0,
6,20,0,
6,21,0,
6,22,0,
6,23,0,
6,24,0,
6,25,0,
6,26,0,
7,27,0,
7,28,0,
7,29,0,
7,30,0,
7,31,0,
7,32,0,
7,33,0,
7,34,0,
7,35,0,
7,36,0,
7,37,0,
7,38,0,
7,39,0,
7,40,0,
7,41,0,
8,27,0,
8,28,0,
8,29,0,
8,30,0,
8,31,0,
8,32,0,
8,33,0,
8,34,0,
8,35,0,
8,36,0,
8,37,0,
8,38,0,
8,39,0,
8,40,0,
8,41,0,
9,27,0,
9,28,0,
9,29,0,
9,30,0,
9,31,0,
9,32,0,
9,33,0,
9,34,0,
9,35,0,
9,36,0,
9,37,0,
9,38,0,
9,39,0,
9,40,0,
9,41,0,
10,1,0,
10,2,0,
10,3,0,
10,4,0,
10,5,0,
10,6,0,
10,7,0,
10,8,0,
10,9,0,
11,1,0,
11,2,0,
11,3,0,
11,4,0,
11,5,0,
11,6,0,
11,7,0,
11,8,0,
11,9,0,
12,1,0,
12,2,0,
12,3,0,
12,4,0,
12,5,0,
12,6,0,
12,7,0,
12,8,0,
12,9,0,
13,10,0,
13,11,0,
13,12,0,
13,13,0,
13,14,0,
13,15,0,
13,16,0,
13,17,0,
13,18,0,
13,19,0,
13,20,0,
13,21,0,
13,22,0,
13,23,0,
13,24,0,
13,25,0,
13,26,0,
14,10,0,
14,11,0,
14,12,0,
14,13,0,
14,14,0,
14,15,0,
14,16,0,
14,17,0,
14,18,0,
14,19,0,
14,20,0,
14,21,0,
14,22,0,
14,23,0,
14,24,0,
14,25,0,
14,26,0,
15,10,0,
15,11,0,
15,12,0,
15,13,0,
15,14,0,
15,15,0,
15,16,0,
15,17,0,
15,18,0,
15,19,0,
15,20,0,
15,21,0,
15,22,0,
15,23,0,
15,24,0,
15,25,0,
15,26,0,
16,27,0,
16,28,0,
16,29,0,
16,30,0,
16,31,0,
16,32,0,
16,33,0,
16,34,0,
16,35,0,
16,36,0,
16,37,0,
16,38,0,
16,39,0,
16,40,0,
16,41,0,
17,27,0,
17,28,0,
17,29,0,
17,30,0,
17,31,0,
17,32,0,
17,33,0,
17,34,0,
17,35,0,
17,36,0,
17,37,0,
17,38,0,
17,39,0,
17,40,0,
17,41,0,
18,27,0,
18,28,0,
18,29,0,
18,30,0,
18,31,0,
18,32,0,
18,33,0,
18,34,0,
18,35,0,
18,36,0,
18,37,0,
